location_name,year_id,sex,age_group,mean,lower,upper,measure
China,2019,Male,0 to 14,40335,<1,122104,Number of people with BLLs >10 ug/dL
China,2019,Female,0 to 14,798,<1,10252,Number of people with BLLs >10 ug/dL
Democratic People's Republic of Korea,2019,Male,0 to 14,377881,31075,1157698,Number of people with BLLs >10 ug/dL
Democratic People's Republic of Korea,2019,Female,0 to 14,154902,7512,596558,Number of people with BLLs >10 ug/dL
Taiwan (Province of China),2019,Male,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Taiwan (Province of China),2019,Female,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Cambodia,2019,Male,0 to 14,135783,7097,580959,Number of people with BLLs >10 ug/dL
Cambodia,2019,Female,0 to 14,51206,695,267415,Number of people with BLLs >10 ug/dL
Indonesia,2019,Male,0 to 14,15747,<1,49355,Number of people with BLLs >10 ug/dL
Indonesia,2019,Female,0 to 14,1270,<1,8772,Number of people with BLLs >10 ug/dL
Lao People's Democratic Republic,2019,Male,0 to 14,5132,<1,29073,Number of people with BLLs >10 ug/dL
Lao People's Democratic Republic,2019,Female,0 to 14,2343,<1,14801,Number of people with BLLs >10 ug/dL
Malaysia,2019,Male,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Malaysia,2019,Female,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Maldives,2019,Male,0 to 14,6,<1,75,Number of people with BLLs >10 ug/dL
Maldives,2019,Female,0 to 14,1,<1,4,Number of people with BLLs >10 ug/dL
Myanmar,2019,Male,0 to 14,60906,<1,321614,Number of people with BLLs >10 ug/dL
Myanmar,2019,Female,0 to 14,23303,<1,141450,Number of people with BLLs >10 ug/dL
Philippines,2019,Male,0 to 14,724742,32386,3207550,Number of people with BLLs >10 ug/dL
Philippines,2019,Female,0 to 14,165472,383,917742,Number of people with BLLs >10 ug/dL
Sri Lanka,2019,Male,0 to 14,162,<1,2005,Number of people with BLLs >10 ug/dL
Sri Lanka,2019,Female,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Thailand,2019,Male,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Thailand,2019,Female,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Timor-Leste,2019,Male,0 to 14,7636,189,36339,Number of people with BLLs >10 ug/dL
Timor-Leste,2019,Female,0 to 14,3916,27,20119,Number of people with BLLs >10 ug/dL
Viet Nam,2019,Male,0 to 14,20208,<1,130901,Number of people with BLLs >10 ug/dL
Viet Nam,2019,Female,0 to 14,2560,<1,23879,Number of people with BLLs >10 ug/dL
Fiji,2019,Male,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Fiji,2019,Female,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Kiribati,2019,Male,0 to 14,177,<1,967,Number of people with BLLs >10 ug/dL
Kiribati,2019,Female,0 to 14,71,<1,386,Number of people with BLLs >10 ug/dL
Marshall Islands,2019,Male,0 to 14,1,<1,11,Number of people with BLLs >10 ug/dL
Marshall Islands,2019,Female,0 to 14,1,<1,11,Number of people with BLLs >10 ug/dL
Micronesia (Federated States of),2019,Male,0 to 14,3,<1,30,Number of people with BLLs >10 ug/dL
Micronesia (Federated States of),2019,Female,0 to 14,1,<1,11,Number of people with BLLs >10 ug/dL
Papua New Guinea,2019,Male,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Papua New Guinea,2019,Female,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Samoa,2019,Male,0 to 14,1,<1,14,Number of people with BLLs >10 ug/dL
Samoa,2019,Female,0 to 14,<1,<1,6,Number of people with BLLs >10 ug/dL
Solomon Islands,2019,Male,0 to 14,1972,38,9445,Number of people with BLLs >10 ug/dL
Solomon Islands,2019,Female,0 to 14,1136,7,6042,Number of people with BLLs >10 ug/dL
Tonga,2019,Male,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Tonga,2019,Female,0 to 14,<1,<1,<1,Number of people with BLLs >10 ug/dL
Vanuatu,2019,Male,0 to 14,44,<1,294,Number of people with BLLs >10 ug/dL
Vanuatu,2019,Female,0 to 14,55,<1,381,Number of people with BLLs >10 ug/dL
Armenia,2019,Male,0 to 14,3594,1791,7022,Number of people with BLLs >10 ug/dL
Armenia,2019,Female,0 to 14,3535,1723,7206,Number of people with BLLs >10 ug/dL
Azerbaijan,2019,Male,0 to 14,11383,5649,21219,Number of people with BLLs >10 ug/dL
Azerbaijan,2019,Female,0 to 14,10952,5213,21231,Number of people with BLLs >10 ug/dL
Georgia,2019,Male,0 to 14,3251,1539,6040,Number of people with BLLs >10 ug/dL
Georgia,2019,Female,0 to 14,3201,1534,6113,Number of people with BLLs >10 ug/dL
Kazakhstan,2019,Male,0 to 14,15738,7865,27892,Number of people with BLLs >10 ug/dL
